"scenario","year","lcm","area"
"1: On Farm Measures (Organic)",2045,"Improved grassland (organic)",1526656.1875
"1: On Farm Measures (Organic)",2045,"Inland rock",126968.75
"1: On Farm Measures (Organic)",2045,"Paludiculture",15268.5
"1: On Farm Measures (Organic)",2045,"Saltmarsh",71372.875
"1: On Farm Measures (Organic)",2045,"Semi-natural grassland",1902629.125
"1: On Farm Measures (Organic)",2045,"Urban and suburban",2100972.875
"1: On Farm Measures (Organic)",2050,"Arable and horticulture",3785554.625
"1: On Farm Measures (Organic)",2050,"Arable and horticulture (agroforestry)",287313.375
"1: On Farm Measures (Organic)",2050,"Arable and horticulture (organic and agroforestry)",42486.1875
"1: On Farm Measures (Organic)",2050,"Arable and horticulture (organic)",1260999.375
"1: On Farm Measures (Organic)",2050,"Bog",2442453.6875
"1: On Farm Measures (Organic)",2050,"Broadleaved woodland",1614906.1875
"1: On Farm Measures (Organic)",2050,"Coastal",388057.875
"1: On Farm Measures (Organic)",2050,"Coniferous woodland",1776736.6875
"1: On Farm Measures (Organic)",2050,"Fen, marsh & swamp",378397.8125
"1: On Farm Measures (Organic)",2050,"Freshwater",312163.0625
"1: On Farm Measures (Organic)",2050,"Heather",1544031.6875
"1: On Farm Measures (Organic)",2050,"Improved grassland",4447527.875
"1: On Farm Measures (Organic)",2050,"Improved grassland (agroforestry)",633198.5
"1: On Farm Measures (Organic)",2050,"Improved grassland (organic and agroforestry)",116572.625
"1: On Farm Measures (Organic)",2050,"Improved grassland (organic)",1484367.125
"1: On Farm Measures (Organic)",2050,"Inland rock",126968.75
"1: On Farm Measures (Organic)",2050,"Paludiculture",18335.9375
"1: On Farm Measures (Organic)",2050,"Saltmarsh",71372.875
"1: On Farm Measures (Organic)",2050,"Semi-natural grassland",1827034.0625
"1: On Farm Measures (Organic)",2050,"Urban and suburban",2166834.8125
"2: On Farm Measures (Balanced)",2015,"Arable and horticulture",5546511.5625
"2: On Farm Measures (Balanced)",2015,"Bog",1089384.9375
"2: On Farm Measures (Balanced)",2015,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2015,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2015,"Coniferous woodland",1766968.9375
"2: On Farm Measures (Balanced)",2015,"Fen, marsh & swamp",166634.625
"2: On Farm Measures (Balanced)",2015,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2015,"Heather",2694729
"2: On Farm Measures (Balanced)",2015,"Improved grassland",7004817
"2: On Farm Measures (Balanced)",2015,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2015,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2015,"Semi-natural grassland",2236996.6875
"2: On Farm Measures (Balanced)",2015,"Urban and suburban",1705801.625
"2: On Farm Measures (Balanced)",2020,"Arable and horticulture",5525213.75
"2: On Farm Measures (Balanced)",2020,"Bog",1089384.9375
"2: On Farm Measures (Balanced)",2020,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2020,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2020,"Coniferous woodland",1766968.9375
"2: On Farm Measures (Balanced)",2020,"Fen, marsh & swamp",166634.625
"2: On Farm Measures (Balanced)",2020,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2020,"Heather",2694729
"2: On Farm Measures (Balanced)",2020,"Improved grassland",6960252.875
"2: On Farm Measures (Balanced)",2020,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2020,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2020,"Semi-natural grassland",2236996.6875
"2: On Farm Measures (Balanced)",2020,"Urban and suburban",1771663.5625
"2: On Farm Measures (Balanced)",2025,"Arable and horticulture",5437086.4375
"2: On Farm Measures (Balanced)",2025,"Arable and horticulture (agroforestry)",54966.6875
"2: On Farm Measures (Balanced)",2025,"Biomass crops",12984.5
"2: On Farm Measures (Balanced)",2025,"Bog",1334847.625
"2: On Farm Measures (Balanced)",2025,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2025,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2025,"Coniferous woodland",1770223.3125
"2: On Farm Measures (Balanced)",2025,"Fen, marsh & swamp",196358.125
"2: On Farm Measures (Balanced)",2025,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2025,"Heather",2469819.5625
"2: On Farm Measures (Balanced)",2025,"Improved grassland",6823491.375
"2: On Farm Measures (Balanced)",2025,"Improved grassland (agroforestry)",83317.875
"2: On Farm Measures (Balanced)",2025,"Inland rock",126968.75
"2: On Farm Measures (Balanced)",2025,"Paludiculture",3051.5625
"2: On Farm Measures (Balanced)",2025,"Saltmarsh",71372.875
"2: On Farm Measures (Balanced)",2025,"Semi-natural grassland",2188172
"2: On Farm Measures (Balanced)",2025,"Urban and suburban",1837525.3125
"2: On Farm Measures (Balanced)",2030,"Arable and horticulture",5296257.9375
"2: On Farm Measures (Balanced)",2030,"Arable and horticulture (agroforestry)",109929.6875
"2: On Farm Measures (Balanced)",2030,"Biomass crops",104978.25
"2: On Farm Measures (Balanced)",2030,"Bog",1568365.1875
"2: On Farm Measures (Balanced)",2030,"Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)",2030,"Coastal",388057.875
"2: On Farm Measures (Balanced)",2030,"Coniferous woodland",1773489.8125
"2: On Farm Measures (Balanced)",2030,"Fen, marsh & swamp",237900.75
"2: On Farm Measures (Balanced)",2030,"Freshwater",312163.0625
"2: On Farm Measures (Balanced)",2030,"Heather",2253381.625
"2: On Farm Measures (Balanced)",2030,"Improved grassland",6660620.3125
"2: On Farm Measures (Balanced)",2030,"Improved grassland (agroforestry)",166633.8125
"2: On Farm Measures (Balanced)",2030,"Inland rock",126968.75
