"scenario","year","hwp"
"4: Widespread Engagement",2093,25312423.7026506
"4: Widespread Engagement",2094,24198408.1014942
"4: Widespread Engagement",2095,24500682.0431631
"4: Widespread Engagement",2096,24500683.1255838
"4: Widespread Engagement",2097,24568098.1007729
"4: Widespread Engagement",2098,24683379.5799727
"4: Widespread Engagement",2099,21653907.2909066
"4: Widespread Engagement",2100,15654299.3366443
"5: NBS",2015,8313734.42168548
"5: NBS",2016,12456478.918239
"5: NBS",2017,12456478.918239
"5: NBS",2018,12459326.3558453
"5: NBS",2019,12691911.7387349
"5: NBS",2020,13876427.1745408
"5: NBS",2021,13693253.586372
"5: NBS",2022,13622316.4424628
"5: NBS",2023,13553965.7135036
"5: NBS",2024,13524003.8527018
"5: NBS",2025,13485088.686768
"5: NBS",2026,12458867.5829654
"5: NBS",2027,12396605.820815
"5: NBS",2028,12571714.7886926
"5: NBS",2029,12647121.2097458
"5: NBS",2030,12589590.7812108
"5: NBS",2031,12470507.8106882
"5: NBS",2032,12401393.7134038
"5: NBS",2033,12332441.1561223
"5: NBS",2034,12369997.9098827
"5: NBS",2035,12059470.0417669
"5: NBS",2036,10588035.7408695
"5: NBS",2037,10550954.5407349
"5: NBS",2038,10514316.9392634
"5: NBS",2039,11624050.3572782
"5: NBS",2040,11670851.6115431
"5: NBS",2041,11474685.5569453
"5: NBS",2042,11435022.2441954
"5: NBS",2043,11392113.2829633
"5: NBS",2044,11493517.1500979
"5: NBS",2045,11739088.0913798
"5: NBS",2046,10192745.1669783
"5: NBS",2047,10166755.7312958
"5: NBS",2048,10134970.8012631
"5: NBS",2049,10188397.8370936
"5: NBS",2050,9436459.79144311
"5: NBS",2051,9368845.83198446
"5: NBS",2052,9371277.07527142
"5: NBS",2053,9371277.07527142
"5: NBS",2054,9459273.9061326
"5: NBS",2055,9884794.3643099
"5: NBS",2056,8235471.45760969
"5: NBS",2057,8238311.89253662
"5: NBS",2058,8238311.89253662
"5: NBS",2059,12368413.1614131
"5: NBS",2060,12537172.1453791
"5: NBS",2061,12853386.0153778
"5: NBS",2062,12884845.4847877
"5: NBS",2063,12884845.4847877
"5: NBS",2064,13878026.7716587
"5: NBS",2065,14042546.7744609
"5: NBS",2066,11546272.8153222
"5: NBS",2067,11572659.7544801
"5: NBS",2068,11572659.7544801
"5: NBS",2069,11537617.1142634
"5: NBS",2070,13939713.9759025
"5: NBS",2071,13922916.0425064
"5: NBS",2072,14126345.6947279
"5: NBS",2073,14126345.6947279
"5: NBS",2074,14101225.5269064
"5: NBS",2075,16851591.791075
"5: NBS",2076,14869977.410136
"5: NBS",2077,14884684.0142488
"5: NBS",2078,14884684.0142488
"5: NBS",2079,17611392.3636889
"5: NBS",2080,23093127.8326383
"5: NBS",2081,23095508.1484618
"5: NBS",2082,23227958.3400363
"5: NBS",2083,23227958.3400363
"5: NBS",2084,23163378.7481842
"5: NBS",2085,21550934.953051
"5: NBS",2086,21551225.6277799
"5: NBS",2087,21660942.0454457
"5: NBS",2088,21660942.0454457
"5: NBS",2089,21548566.2748387
"5: NBS",2090,21609851.8813589
"5: NBS",2091,21822070.6674238
"5: NBS",2092,22803432.6164427
"5: NBS",2093,23151979.1731143
"5: NBS",2094,22048879.1544761
"5: NBS",2095,23042832.4399768
"5: NBS",2096,23042833.4597298
"5: NBS",2097,23103449.5191785
"5: NBS",2098,23252278.9940771
"5: NBS",2099,20562900.4836163
"5: NBS",2100,12239724.5170973
"6: NBS with biomass crops",2015,8313734.42168548
"6: NBS with biomass crops",2016,12456478.918239
"6: NBS with biomass crops",2017,12456478.918239
"6: NBS with biomass crops",2018,12459326.3558453
"6: NBS with biomass crops",2019,12691911.7387349
"6: NBS with biomass crops",2020,13876427.1745408
"6: NBS with biomass crops",2021,13707638.586372
"6: NBS with biomass crops",2022,13651086.4424628
"6: NBS with biomass crops",2023,13597120.7135036
"6: NBS with biomass crops",2024,13581543.8527018
"6: NBS with biomass crops",2025,13557013.686768
"6: NBS with biomass crops",2026,12600381.4829654
"6: NBS with biomass crops",2027,12607708.620815
"6: NBS with biomass crops",2028,12852406.4886926
"6: NBS with biomass crops",2029,12997401.8097458
"6: NBS with biomass crops",2030,13009460.2812108
"6: NBS with biomass crops",2031,13010394.1106882
"6: NBS with biomass crops",2032,13061296.8134038
"6: NBS with biomass crops",2033,13112361.0561223
"6: NBS with biomass crops",2034,13269934.6098827
"6: NBS with biomass crops",2035,13079423.5417669
"6: NBS with biomass crops",2036,11727970.6408695
"6: NBS with biomass crops",2037,11810870.8407349
"6: NBS with biomass crops",2038,11894214.6392634
"6: NBS with biomass crops",2039,13123929.4572782
"6: NBS with biomass crops",2040,13290712.1115431
"6: NBS with biomass crops",2041,13214540.8069453
"6: NBS with biomass crops",2042,13294872.2441954
"6: NBS with biomass crops",2043,13371958.0329633
"6: NBS with biomass crops",2044,13593356.6500979
"6: NBS with biomass crops",2045,13958922.3413798
"6: NBS with biomass crops",2046,12532587.3669783
"6: NBS with biomass crops",2047,12626605.8812958
"6: NBS with biomass crops",2048,12714828.9012631
"6: NBS with biomass crops",2049,12888263.8870936
"6: NBS with biomass crops",2050,12256333.7914431
"6: NBS with biomass crops",2051,12188719.8319845
"6: NBS with biomass crops",2052,12191151.0752714
"6: NBS with biomass crops",2053,12191151.0752714
"6: NBS with biomass crops",2054,12279147.9061326
"6: NBS with biomass crops",2055,12704668.3643099
"6: NBS with biomass crops",2056,11055345.4576097
"6: NBS with biomass crops",2057,11058185.8925366
"6: NBS with biomass crops",2058,11058185.8925366
"6: NBS with biomass crops",2059,15188287.1614131
"6: NBS with biomass crops",2060,15357046.1453791
"6: NBS with biomass crops",2061,15673260.0153778
"6: NBS with biomass crops",2062,15704719.4847877
"6: NBS with biomass crops",2063,15704719.4847877
"6: NBS with biomass crops",2064,16697900.7716587
"6: NBS with biomass crops",2065,16862420.7744609
"6: NBS with biomass crops",2066,14366146.8153222
"6: NBS with biomass crops",2067,14392533.7544801
"6: NBS with biomass crops",2068,14392533.7544801
"6: NBS with biomass crops",2069,14357491.1142634
"6: NBS with biomass crops",2070,16759587.9759025
"6: NBS with biomass crops",2071,16742790.0425064
"6: NBS with biomass crops",2072,16946219.6947279
"6: NBS with biomass crops",2073,16946219.6947279
"6: NBS with biomass crops",2074,16921099.5269064
"6: NBS with biomass crops",2075,19671465.791075
"6: NBS with biomass crops",2076,17689851.410136
"6: NBS with biomass crops",2077,17704558.0142488
"6: NBS with biomass crops",2078,17704558.0142488
"6: NBS with biomass crops",2079,20431266.3636889
"6: NBS with biomass crops",2080,25913001.8326383
"6: NBS with biomass crops",2081,25915382.1484618
"6: NBS with biomass crops",2082,26047832.3400363
"6: NBS with biomass crops",2083,26047832.3400363
"6: NBS with biomass crops",2084,25983252.7481842
"6: NBS with biomass crops",2085,24370808.953051
"6: NBS with biomass crops",2086,24371099.6277799
"6: NBS with biomass crops",2087,24480816.0454457
"6: NBS with biomass crops",2088,24480816.0454457
"6: NBS with biomass crops",2089,24368440.2748387
"6: NBS with biomass crops",2090,24429725.8813589
"6: NBS with biomass crops",2091,24641944.6674238
"6: NBS with biomass crops",2092,25623306.6164427
"6: NBS with biomass crops",2093,25971853.1731143
"6: NBS with biomass crops",2094,24868753.1544761
"6: NBS with biomass crops",2095,25862706.4399768
"6: NBS with biomass crops",2096,25862707.4597298
"6: NBS with biomass crops",2097,25923323.5191785
"6: NBS with biomass crops",2098,26072152.9940771
"6: NBS with biomass crops",2099,23382774.4836163
"6: NBS with biomass crops",2100,15059598.5170973
"7: NBS with organic farming",2015,8313734.42168548
"7: NBS with organic farming",2016,12456478.918239
"7: NBS with organic farming",2017,12456478.918239
"7: NBS with organic farming",2018,12459326.3558453
