"scenario","year","gwp_t"
"2: On Farm Measures (Balanced)",2087,60.571284080179
"2: On Farm Measures (Balanced)",2088,60.951094489431
"2: On Farm Measures (Balanced)",2089,61.3919878157629
"2: On Farm Measures (Balanced)",2090,61.7958959527017
"2: On Farm Measures (Balanced)",2091,62.2181559214387
"2: On Farm Measures (Balanced)",2092,62.6377154331097
"2: On Farm Measures (Balanced)",2093,63.7760267887083
"2: On Farm Measures (Balanced)",2094,64.7909454702199
"2: On Farm Measures (Balanced)",2095,63.7792771838798
"2: On Farm Measures (Balanced)",2096,63.4714814106883
"2: On Farm Measures (Balanced)",2097,63.323163087304
"2: On Farm Measures (Balanced)",2098,63.1560595331152
"2: On Farm Measures (Balanced)",2099,63.1303691266915
"2: On Farm Measures (Balanced)",2100,60.6959775888681
"3: Balanced Pathway",2015,59.4356711184398
"3: Balanced Pathway",2016,59.931818782512
"3: Balanced Pathway",2017,63.087755257191
"3: Balanced Pathway",2018,63.4695406557631
"3: Balanced Pathway",2019,64.0842367040452
"3: Balanced Pathway",2020,64.8980899298831
"3: Balanced Pathway",2021,65.0321771095592
"3: Balanced Pathway",2022,64.0903882591824
"3: Balanced Pathway",2023,63.1897192720118
"3: Balanced Pathway",2024,62.1683770761342
"3: Balanced Pathway",2025,61.0257958606205
"3: Balanced Pathway",2026,59.7072166901434
"3: Balanced Pathway",2027,58.2354176025787
"3: Balanced Pathway",2028,57.3187215142891
"3: Balanced Pathway",2029,56.2129341906394
"3: Balanced Pathway",2030,55.1652445690164
"3: Balanced Pathway",2031,53.6886932473768
"3: Balanced Pathway",2032,52.6157848455584
"3: Balanced Pathway",2033,51.5596916225754
"3: Balanced Pathway",2034,50.2990231474663
"3: Balanced Pathway",2035,49.1559448124367
"3: Balanced Pathway",2036,47.6731889827187
"3: Balanced Pathway",2037,44.9826469632916
"3: Balanced Pathway",2038,43.2347122890448
"3: Balanced Pathway",2039,41.1326960130366
"3: Balanced Pathway",2040,40.4016962241726
"3: Balanced Pathway",2041,39.2896917569709
"3: Balanced Pathway",2042,37.662739576163
"3: Balanced Pathway",2043,36.148403232525
"3: Balanced Pathway",2044,34.3319820576251
"3: Balanced Pathway",2045,32.6279541906771
"3: Balanced Pathway",2046,31.4130184512872
"3: Balanced Pathway",2047,29.2109051796868
"3: Balanced Pathway",2048,27.7451487867894
"3: Balanced Pathway",2049,25.9812975021701
"3: Balanced Pathway",2050,24.4659308515381
"3: Balanced Pathway",2051,23.7855002323786
"3: Balanced Pathway",2052,25.4945330204195
"3: Balanced Pathway",2053,24.6867585529462
"3: Balanced Pathway",2054,23.7911311379722
"3: Balanced Pathway",2055,23.0483026985224
"3: Balanced Pathway",2056,23.4420366837345
"3: Balanced Pathway",2057,23.6583918460787
"3: Balanced Pathway",2058,23.2979464580409
"3: Balanced Pathway",2059,22.8324727595199
"3: Balanced Pathway",2060,25.7159138919147
"3: Balanced Pathway",2061,26.6068090988268
"3: Balanced Pathway",2062,27.8724350735573
"3: Balanced Pathway",2063,28.8140603502203
"3: Balanced Pathway",2064,29.6781895953155
"3: Balanced Pathway",2065,31.3616896813788
"3: Balanced Pathway",2066,32.4512634196688
"3: Balanced Pathway",2067,31.1052989596345
"3: Balanced Pathway",2068,31.9155730303333
"3: Balanced Pathway",2069,32.5508429462545
"3: Balanced Pathway",2070,33.3133750654809
"3: Balanced Pathway",2071,35.6339968932968
"3: Balanced Pathway",2072,36.2847290722538
"3: Balanced Pathway",2073,37.1144275976124
"3: Balanced Pathway",2074,37.7432147484671
"3: Balanced Pathway",2075,38.6436500150523
"3: Balanced Pathway",2076,40.399598273609
"3: Balanced Pathway",2077,34.4654042560706
"3: Balanced Pathway",2078,34.961720112724
"3: Balanced Pathway",2079,35.1353933926433
"3: Balanced Pathway",2080,37.7812483610267
"3: Balanced Pathway",2081,42.9993545727326
"3: Balanced Pathway",2082,43.6269467137096
"3: Balanced Pathway",2083,44.9451215576515
"3: Balanced Pathway",2084,46.0392258809535
"3: Balanced Pathway",2085,47.240932235771
"3: Balanced Pathway",2086,50.0731769548366
"3: Balanced Pathway",2087,50.7880110665622
"3: Balanced Pathway",2088,51.7477679475206
"3: Balanced Pathway",2089,52.6413190768264
"3: Balanced Pathway",2090,53.6116188909833
"3: Balanced Pathway",2091,53.565135393904
"3: Balanced Pathway",2092,54.2225587551233
"3: Balanced Pathway",2093,55.4358205706694
"3: Balanced Pathway",2094,56.5759416068885
"3: Balanced Pathway",2095,55.8159961691384
"3: Balanced Pathway",2096,56.2123097642834
"3: Balanced Pathway",2097,56.1109875027946
"3: Balanced Pathway",2098,55.9397085007
"3: Balanced Pathway",2099,56.044089405259
"3: Balanced Pathway",2100,53.7105435250609
"4: Widespread Engagement",2015,59.4356711184398
"4: Widespread Engagement",2016,59.931818782512
"4: Widespread Engagement",2017,63.087755257191
"4: Widespread Engagement",2018,63.4695406557631
"4: Widespread Engagement",2019,64.0842367040452
"4: Widespread Engagement",2020,64.896345327079
"4: Widespread Engagement",2021,65.0240733589084
"4: Widespread Engagement",2022,64.0095413233021
"4: Widespread Engagement",2023,63.0380070679997
"4: Widespread Engagement",2024,61.9476122449193
"4: Widespread Engagement",2025,60.7574802614184
"4: Widespread Engagement",2026,59.3689666966622
"4: Widespread Engagement",2027,57.8445022437406
"4: Widespread Engagement",2028,56.8779081673773
"4: Widespread Engagement",2029,55.7248671584399
"4: Widespread Engagement",2030,54.6456343901511
"4: Widespread Engagement",2031,53.0955872587232
"4: Widespread Engagement",2032,51.9691864974575
"4: Widespread Engagement",2033,50.8633854610421
"4: Widespread Engagement",2034,49.5565752541875
"4: Widespread Engagement",2035,48.3686783057753
"4: Widespread Engagement",2036,46.8742534021105
