"scenario","year","category","gwp_t"
"0: Baseline",2082,"Peatlands",21.6286128825099
"0: Baseline",2082,"Woodlands (etc.)",-2.40720922086192
"0: Baseline",2083,"Agriculture",42.2840348430432
"0: Baseline",2083,"Peatlands",21.6286128825099
"0: Baseline",2083,"Woodlands (etc.)",-1.90955924974232
"0: Baseline",2084,"Agriculture",42.2840348430432
"0: Baseline",2084,"Peatlands",21.6286128825099
"0: Baseline",2084,"Woodlands (etc.)",-1.39937953699753
"0: Baseline",2085,"Agriculture",42.2840348430432
"0: Baseline",2085,"Peatlands",21.6286128825099
"0: Baseline",2085,"Woodlands (etc.)",-1.04849441017524
"0: Baseline",2086,"Agriculture",42.2840348430432
"0: Baseline",2086,"Peatlands",21.6286128825099
"0: Baseline",2086,"Woodlands (etc.)",-0.693696040074626
"0: Baseline",2087,"Agriculture",42.2840348430432
"0: Baseline",2087,"Peatlands",21.6286128825099
"0: Baseline",2087,"Woodlands (etc.)",-0.667525038161965
"0: Baseline",2088,"Agriculture",42.2840348430432
"0: Baseline",2088,"Peatlands",21.6286128825099
"0: Baseline",2088,"Woodlands (etc.)",-0.441175304115468
"0: Baseline",2089,"Agriculture",42.2840348430432
"0: Baseline",2089,"Peatlands",21.6286128825099
"0: Baseline",2089,"Woodlands (etc.)",-0.0491904136979967
"0: Baseline",2090,"Agriculture",42.2840348430432
"0: Baseline",2090,"Peatlands",21.6286128825099
"0: Baseline",2090,"Woodlands (etc.)",0.102905461404345
"0: Baseline",2091,"Agriculture",42.2840348430432
"0: Baseline",2091,"Peatlands",21.6286128825099
"0: Baseline",2091,"Woodlands (etc.)",0.302588980935553
"0: Baseline",2092,"Agriculture",42.2840348430432
"0: Baseline",2092,"Peatlands",21.6286128825099
"0: Baseline",2092,"Woodlands (etc.)",0.522700239672489
"0: Baseline",2093,"Agriculture",42.2840348430432
"0: Baseline",2093,"Peatlands",21.6286128825099
"0: Baseline",2093,"Woodlands (etc.)",1.48562253478288
"0: Baseline",2094,"Agriculture",42.2840348430432
"0: Baseline",2094,"Peatlands",21.6286128825099
"0: Baseline",2094,"Woodlands (etc.)",1.87224993143863
"0: Baseline",2095,"Agriculture",42.2840348430432
"0: Baseline",2095,"Peatlands",21.6286128825099
"0: Baseline",2095,"Woodlands (etc.)",2.04235854790071
"0: Baseline",2096,"Agriculture",42.2840348430432
"0: Baseline",2096,"Peatlands",21.6286128825099
"0: Baseline",2096,"Woodlands (etc.)",2.27676701101014
"0: Baseline",2097,"Agriculture",42.2840348430432
"0: Baseline",2097,"Peatlands",21.6286128825099
"0: Baseline",2097,"Woodlands (etc.)",2.23506274959302
"0: Baseline",2098,"Agriculture",42.2840348430432
"0: Baseline",2098,"Peatlands",21.6286128825099
"0: Baseline",2098,"Woodlands (etc.)",2.23616153761442
"0: Baseline",2099,"Agriculture",42.2840348430432
"0: Baseline",2099,"Peatlands",21.6286128825099
"0: Baseline",2099,"Woodlands (etc.)",2.37067529530009
"0: Baseline",2100,"Agriculture",42.2840348430432
"0: Baseline",2100,"Peatlands",21.6286128825099
"0: Baseline",2100,"Woodlands (etc.)",-0.0598536256978233
"1: On Farm Measures (Organic)",2015,"Agriculture",43.7276629604311
"1: On Farm Measures (Organic)",2015,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2015,"Woodlands (etc.)",-22.3427885566549
"1: On Farm Measures (Organic)",2016,"Agriculture",43.6860010029903
"1: On Farm Measures (Organic)",2016,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2016,"Woodlands (etc.)",-21.7912755546402
"1: On Farm Measures (Organic)",2017,"Agriculture",43.6443022292911
"1: On Farm Measures (Organic)",2017,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2017,"Woodlands (etc.)",-18.5799369257605
"1: On Farm Measures (Organic)",2018,"Agriculture",43.6025353748745
"1: On Farm Measures (Organic)",2018,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2018,"Woodlands (etc.)",-18.1426812922702
"1: On Farm Measures (Organic)",2019,"Agriculture",43.5606540501874
"1: On Farm Measures (Organic)",2019,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2019,"Woodlands (etc.)",-17.4724005387993
"1: On Farm Measures (Organic)",2020,"Agriculture",43.5186275245974
"1: On Farm Measures (Organic)",2020,"Peatlands",21.6286128825099
"1: On Farm Measures (Organic)",2020,"Woodlands (etc.)",-16.6057348453125
"1: On Farm Measures (Organic)",2021,"Agriculture",43.2680742243011
"1: On Farm Measures (Organic)",2021,"Peatlands",21.3900078351918
"1: On Farm Measures (Organic)",2021,"Woodlands (etc.)",-15.7861974789253
"1: On Farm Measures (Organic)",2022,"Agriculture",42.418042250014
"1: On Farm Measures (Organic)",2022,"Peatlands",21.151653752309
"1: On Farm Measures (Organic)",2022,"Woodlands (etc.)",-15.3978691344299
"1: On Farm Measures (Organic)",2023,"Agriculture",41.5856295421119
"1: On Farm Measures (Organic)",2023,"Peatlands",20.9135506338615
"1: On Farm Measures (Organic)",2023,"Woodlands (etc.)",-14.9805631549221
"1: On Farm Measures (Organic)",2024,"Agriculture",40.7705770047873
"1: On Farm Measures (Organic)",2024,"Peatlands",20.6756984798494
"1: On Farm Measures (Organic)",2024,"Woodlands (etc.)",-14.6959749482205
"1: On Farm Measures (Organic)",2025,"Agriculture",39.7793990380153
"1: On Farm Measures (Organic)",2025,"Peatlands",20.4380972902726
"1: On Farm Measures (Organic)",2025,"Woodlands (etc.)",-14.3248003458506
"1: On Farm Measures (Organic)",2026,"Agriculture",38.8028746252529
"1: On Farm Measures (Organic)",2026,"Peatlands",20.2104312916627
"1: On Farm Measures (Organic)",2026,"Woodlands (etc.)",-13.9171916201452
"1: On Farm Measures (Organic)",2027,"Agriculture",38.2121284565575
"1: On Farm Measures (Organic)",2027,"Peatlands",19.9830161444064
"1: On Farm Measures (Organic)",2027,"Woodlands (etc.)",-13.9661974297698
"1: On Farm Measures (Organic)",2028,"Agriculture",37.6294441188339
"1: On Farm Measures (Organic)",2028,"Peatlands",19.7558518485037
"1: On Farm Measures (Organic)",2028,"Woodlands (etc.)",-13.4744354370964
"1: On Farm Measures (Organic)",2029,"Agriculture",37.0547680999417
"1: On Farm Measures (Organic)",2029,"Peatlands",19.5289384039545
"1: On Farm Measures (Organic)",2029,"Woodlands (etc.)",-13.1856427328796
"1: On Farm Measures (Organic)",2030,"Agriculture",36.4247281132976
"1: On Farm Measures (Organic)",2030,"Peatlands",19.3022758107588
"1: On Farm Measures (Organic)",2030,"Woodlands (etc.)",-12.7698391313428
"1: On Farm Measures (Organic)",2031,"Agriculture",35.8188972120018
"1: On Farm Measures (Organic)",2031,"Peatlands",19.0615915292711
"1: On Farm Measures (Organic)",2031,"Woodlands (etc.)",-12.4134611056127
"1: On Farm Measures (Organic)",2032,"Agriculture",35.2950041220079
"1: On Farm Measures (Organic)",2032,"Peatlands",18.8211537146482
"1: On Farm Measures (Organic)",2032,"Woodlands (etc.)",-11.8749402212265
"1: On Farm Measures (Organic)",2033,"Agriculture",34.7762776973064
"1: On Farm Measures (Organic)",2033,"Peatlands",18.5809623668901
"1: On Farm Measures (Organic)",2033,"Woodlands (etc.)",-11.3330058240962
"1: On Farm Measures (Organic)",2034,"Agriculture",34.2626982556605
"1: On Farm Measures (Organic)",2034,"Peatlands",18.3410174859968
"1: On Farm Measures (Organic)",2034,"Woodlands (etc.)",-11.0085194780696
"1: On Farm Measures (Organic)",2035,"Agriculture",33.9372898426108
"1: On Farm Measures (Organic)",2035,"Peatlands",18.1013190719682
"1: On Farm Measures (Organic)",2035,"Woodlands (etc.)",-10.7525872479202
"1: On Farm Measures (Organic)",2036,"Agriculture",33.7292919306016
"1: On Farm Measures (Organic)",2036,"Peatlands",17.9350386670233
"1: On Farm Measures (Organic)",2036,"Woodlands (etc.)",-10.4274839836313
"1: On Farm Measures (Organic)",2037,"Agriculture",33.5219441697446
"1: On Farm Measures (Organic)",2037,"Peatlands",17.7690151897268
"1: On Farm Measures (Organic)",2037,"Woodlands (etc.)",-11.3186064026456
"1: On Farm Measures (Organic)",2038,"Agriculture",33.3152494020691
"1: On Farm Measures (Organic)",2038,"Peatlands",17.6032486393591
"1: On Farm Measures (Organic)",2038,"Woodlands (etc.)",-11.2752448382156
"1: On Farm Measures (Organic)",2039,"Agriculture",33.1092115310211
"1: On Farm Measures (Organic)",2039,"Peatlands",17.4377390159202
"1: On Farm Measures (Organic)",2039,"Woodlands (etc.)",-11.5938078326992
"1: On Farm Measures (Organic)",2040,"Agriculture",32.9612073621514
"1: On Farm Measures (Organic)",2040,"Peatlands",17.2724863194101
"1: On Farm Measures (Organic)",2040,"Woodlands (etc.)",-10.4808130417852
"1: On Farm Measures (Organic)",2041,"Agriculture",32.8136093647505
"1: On Farm Measures (Organic)",2041,"Peatlands",17.1026699598908
"1: On Farm Measures (Organic)",2041,"Woodlands (etc.)",-9.85273822915272
"1: On Farm Measures (Organic)",2042,"Agriculture",32.666284054641
"1: On Farm Measures (Organic)",2042,"Peatlands",16.9331040919194
"1: On Farm Measures (Organic)",2042,"Woodlands (etc.)",-9.70456670712322
"1: On Farm Measures (Organic)",2043,"Agriculture",32.5192287030966
"1: On Farm Measures (Organic)",2043,"Peatlands",16.763788715496
"1: On Farm Measures (Organic)",2043,"Woodlands (etc.)",-9.44965706958539
"1: On Farm Measures (Organic)",2044,"Agriculture",32.3724396040031
"1: On Farm Measures (Organic)",2044,"Peatlands",16.5947238306204
"1: On Farm Measures (Organic)",2044,"Woodlands (etc.)",-9.50254217757542
"1: On Farm Measures (Organic)",2045,"Agriculture",32.2259133254435
"1: On Farm Measures (Organic)",2045,"Peatlands",16.4259094372927
"1: On Farm Measures (Organic)",2045,"Woodlands (etc.)",-9.25903459221898
"1: On Farm Measures (Organic)",2046,"Agriculture",32.0805207704418
"1: On Farm Measures (Organic)",2046,"Peatlands",16.2880062877402
"1: On Farm Measures (Organic)",2046,"Woodlands (etc.)",-8.84086540292744
"1: On Farm Measures (Organic)",2047,"Agriculture",31.935390632032
"1: On Farm Measures (Organic)",2047,"Peatlands",16.1503554082036
"1: On Farm Measures (Organic)",2047,"Woodlands (etc.)",-9.7875735593985
"1: On Farm Measures (Organic)",2048,"Agriculture",31.790519403113
"1: On Farm Measures (Organic)",2048,"Peatlands",16.0129567986827
"1: On Farm Measures (Organic)",2048,"Woodlands (etc.)",-9.5897685578985
"1: On Farm Measures (Organic)",2049,"Agriculture",31.6459028291688
"1: On Farm Measures (Organic)",2049,"Peatlands",15.8758104591776
"1: On Farm Measures (Organic)",2049,"Woodlands (etc.)",-9.71048582532332
"1: On Farm Measures (Organic)",2050,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2050,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2050,"Woodlands (etc.)",-9.551470846736
"1: On Farm Measures (Organic)",2051,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2051,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2051,"Woodlands (etc.)",-9.45658444418367
"1: On Farm Measures (Organic)",2052,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2052,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2052,"Woodlands (etc.)",-9.58008897968805
"1: On Farm Measures (Organic)",2053,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2053,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2053,"Woodlands (etc.)",-9.68570319459756
"1: On Farm Measures (Organic)",2054,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2054,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2054,"Woodlands (etc.)",-9.9639904254364
"1: On Farm Measures (Organic)",2055,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2055,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2055,"Woodlands (etc.)",-9.84488487935579
"1: On Farm Measures (Organic)",2056,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2056,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2056,"Woodlands (etc.)",-9.12496824547103
"1: On Farm Measures (Organic)",2057,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2057,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2057,"Woodlands (etc.)",-10.464214104788
"1: On Farm Measures (Organic)",2058,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2058,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2058,"Woodlands (etc.)",-10.5145869768239
"1: On Farm Measures (Organic)",2059,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2059,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2059,"Woodlands (etc.)",-10.7247966515939
"1: On Farm Measures (Organic)",2060,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2060,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2060,"Woodlands (etc.)",-7.29609009319718
"1: On Farm Measures (Organic)",2061,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2061,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2061,"Woodlands (etc.)",-6.92298503222544
"1: On Farm Measures (Organic)",2062,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2062,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2062,"Woodlands (etc.)",-6.09072517926244
"1: On Farm Measures (Organic)",2063,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2063,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2063,"Woodlands (etc.)",-5.56683811549955
"1: On Farm Measures (Organic)",2064,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2064,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2064,"Woodlands (etc.)",-5.10807200402047
"1: On Farm Measures (Organic)",2065,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2065,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2065,"Woodlands (etc.)",-2.89412817038954
"1: On Farm Measures (Organic)",2066,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2066,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2066,"Woodlands (etc.)",-2.3628223359737
"1: On Farm Measures (Organic)",2067,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2067,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2067,"Woodlands (etc.)",-4.17468172838758
"1: On Farm Measures (Organic)",2068,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2068,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2068,"Woodlands (etc.)",-3.82638961662175
"1: On Farm Measures (Organic)",2069,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2069,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2069,"Woodlands (etc.)",-3.64883757429437
"1: On Farm Measures (Organic)",2070,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2070,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2070,"Woodlands (etc.)",-3.45330559324317
"1: On Farm Measures (Organic)",2071,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2071,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2071,"Woodlands (etc.)",-2.88788989150078
"1: On Farm Measures (Organic)",2072,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2072,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2072,"Woodlands (etc.)",-2.7219432047522
"1: On Farm Measures (Organic)",2073,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2073,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2073,"Woodlands (etc.)",-2.48551920787047
"1: On Farm Measures (Organic)",2074,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2074,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2074,"Woodlands (etc.)",-2.41030002334932
"1: On Farm Measures (Organic)",2075,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2075,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2075,"Woodlands (etc.)",-2.26319697943592
"1: On Farm Measures (Organic)",2076,"Agriculture",31.5785268731574
"1: On Farm Measures (Organic)",2076,"Peatlands",15.7389163912774
"1: On Farm Measures (Organic)",2076,"Woodlands (etc.)",-2.22572233531738
"1: On Farm Measures (Organic)",2077,"Agriculture",31.5785268731574
