"scenario","lcm_from","lcm_to","area"
"7: NBS with organic farming","Improved grassland","Paludiculture",31320.375
"7: NBS with organic farming","Improved grassland","Saltmarsh",1519.3125
"7: NBS with organic farming","Improved grassland","Semi-natural grassland",105253.875
"7: NBS with organic farming","Improved grassland","Semi-natural wood pasture",185836.5
"7: NBS with organic farming","Improved grassland","Urban and suburban",277108.4375
"7: NBS with organic farming","Improved grassland (agroforestry)","Improved grassland (organic and agroforestry)",8213.5625
"7: NBS with organic farming","Improved grassland (organic)","Bog",3464.375
"7: NBS with organic farming","Improved grassland (organic)","Broadleaved woodland",142222.25
"7: NBS with organic farming","Improved grassland (organic)","Coniferous woodland",86979.0625
"7: NBS with organic farming","Improved grassland (organic)","Fen, marsh & swamp",2809.25
"7: NBS with organic farming","Improved grassland (organic)","Improved grassland (organic and agroforestry)",101037.6875
"7: NBS with organic farming","Improved grassland (organic)","Paludiculture",2250.5
"7: NBS with organic farming","Improved grassland (organic)","Saltmarsh",342.875
"7: NBS with organic farming","Improved grassland (organic)","Semi-natural grassland",14574.75
"7: NBS with organic farming","Improved grassland (organic)","Semi-natural wood pasture",33355.9375
"7: NBS with organic farming","Improved grassland (organic)","Urban and suburban",32762.1875
"7: NBS with organic farming","Inland rock","Inland rock",126968.6875
"7: NBS with organic farming","Inland rock","Saltmarsh",0.0625
"7: NBS with organic farming","Saltmarsh","Saltmarsh",71372.875
"7: NBS with organic farming","Semi-natural grassland","Bog",310264
"7: NBS with organic farming","Semi-natural grassland","Broadleaved woodland",129071.625
"7: NBS with organic farming","Semi-natural grassland","Coniferous woodland",134705.0625
"7: NBS with organic farming","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"7: NBS with organic farming","Semi-natural grassland","Saltmarsh",4630.75
"7: NBS with organic farming","Semi-natural grassland","Semi-natural grassland",1506650.4375
"7: NBS with organic farming","Semi-natural grassland","Semi-natural wood pasture",77303.625
"7: NBS with organic farming","Urban and suburban","Saltmarsh",165
"7: NBS with organic farming","Urban and suburban","Urban and suburban",1705636.625
"8: NBS extra","Arable and horticulture","Arable and horticulture",4261419.0625
"8: NBS extra","Arable and horticulture","Arable and horticulture (agroforestry)",329877.875
"8: NBS extra","Arable and horticulture","Bog",11203.5
"8: NBS extra","Arable and horticulture","Broadleaved woodland",261398.1875
"8: NBS extra","Arable and horticulture","Coniferous woodland",203850
"8: NBS extra","Arable and horticulture","Fen, marsh & swamp",80535.9375
"8: NBS extra","Arable and horticulture","Paludiculture",91425.5
"8: NBS extra","Arable and horticulture","Saltmarsh",5726.25
"8: NBS extra","Arable and horticulture","Semi-natural grassland",149912.6875
"8: NBS extra","Arable and horticulture","Urban and suburban",151162.5625
"8: NBS extra","Bog","Bog",1081821.6875
"8: NBS extra","Bog","Broadleaved woodland",2538.75
"8: NBS extra","Bog","Coniferous woodland",5018
"8: NBS extra","Bog","Saltmarsh",6.5
"8: NBS extra","Broadleaved woodland","Broadleaved woodland",1614366.9375
"8: NBS extra","Broadleaved woodland","Saltmarsh",539.25
"8: NBS extra","Coastal","Coastal",388057.875
"8: NBS extra","Coniferous woodland","Bog",219943.0625
"8: NBS extra","Coniferous woodland","Coniferous woodland",1517586.4375
"8: NBS extra","Coniferous woodland","Fen, marsh & swamp",29326.6875
"8: NBS extra","Coniferous woodland","Saltmarsh",112.75
"8: NBS extra","Fen, marsh & swamp","Broadleaved woodland",159.625
"8: NBS extra","Fen, marsh & swamp","Coniferous woodland",86.1875
"8: NBS extra","Fen, marsh & swamp","Fen, marsh & swamp",165653.3125
"8: NBS extra","Fen, marsh & swamp","Saltmarsh",735.5
"8: NBS extra","Freshwater","Freshwater",311788.125
"8: NBS extra","Freshwater","Saltmarsh",374.9375
"8: NBS extra","Heather","Bog",995020.5625
"8: NBS extra","Heather","Broadleaved woodland",37332.5625
"8: NBS extra","Heather","Coniferous woodland",56819.3125
"8: NBS extra","Heather","Fen, marsh & swamp",130636.4375
"8: NBS extra","Heather","Heather",1440961.6875
"8: NBS extra","Heather","Saltmarsh",216.3125
"8: NBS extra","Heather","Semi-natural wood pasture",33742.125
"8: NBS extra","Improved grassland","Bog",57357.125
"8: NBS extra","Improved grassland","Broadleaved woodland",883704.25
"8: NBS extra","Improved grassland","Coniferous woodland",569432.8125
"8: NBS extra","Improved grassland","Fen, marsh & swamp",42481.375
"8: NBS extra","Improved grassland","Improved grassland",3668971
"8: NBS extra","Improved grassland","Improved grassland (agroforestry)",749833.9375
"8: NBS extra","Improved grassland","Paludiculture",33570.875
"8: NBS extra","Improved grassland","Saltmarsh",1862.1875
"8: NBS extra","Improved grassland","Semi-natural grassland",299819.75
